Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,,Manufactured Date,Expiry Date
Amoxiprofen,Antidepressant,Tablet,50 mg,Roche Holding AG,Fever,Prescription,,2020-02-05,2022-12-13
Ibupromet,Antiviral,Cream,816 mg,AstraZeneca plc,Pain,Over-the-Counter,,2022-06-05,2023-06-17
Metomycin,Antidepressant,Drops,907 mg,Bayer AG,Diabetes,Prescription,,2020-10-21,2022-12-01
Acetonazole,Antiviral,Ointment,501 mg,CSL Limited,Wound,Over-the-Counter,,2023-07-15,2025-07-03
Dextromycin,Antifungal,Inhaler,53 mg,"Merck & Co., Inc.",Infection,Prescription,,2024-11-24,2026-07-27
Dolocillin,Antiseptic,Injection,603 mg,GlaxoSmithKline plc,Pain,Over-the-Counter,,2023-08-04,2024-10-29
Metomycin,Antiviral,Injection,794 mg,Johnson & Johnson,Diabetes,Prescription,,2022-01-21,2024-04-03
Clarimycin,Antifungal,Inhaler,312 mg,Bayer AG,Diabetes,Over-the-Counter,,2021-03-05,2023-04-29
Clariprofen,Analgesic,Syrup,219 mg,Bayer AG,Wound,Prescription,,2024-08-18,2027-05-31
Amoxistatin,Antidiabetic,Ointment,502 mg,CSL Limited,Infection,Prescription,,2023-10-31,2025-07-12
Cefprofen,Antidiabetic,Syrup,329 mg,GlaxoSmithKline plc,Pain,Prescription,,2020-09-13,2022-06-15
Dextrophen,Antiseptic,Ointment,695 mg,Johnson & Johnson,Pain,Prescription,,2020-03-19,2023-01-05
Cefnazole,Antidepressant,Inhaler,349 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter,,2021-11-24,2022-11-30
Dextroprofen,Antidiabetic,Tablet,721 mg,Biogen Inc.,Pain,Over-the-Counter,,2022-02-14,2024-06-27
Acetostatin,Antidiabetic,Tablet,794 mg,Amgen Inc.,Fungus,Over-the-Counter,,2020-04-29,2021-12-30
Acetophen,Antidepressant,Drops,712 mg,Amgen Inc.,Depression,Prescription,,2020-10-08,2022-09-18
Metomet,Antidiabetic,Syrup,776 mg,Sanofi S.A.,Depression,Prescription,,2025-05-29,2026-12-18
Acetocillin,Antifungal,Tablet,658 mg,GlaxoSmithKline plc,Wound,Prescription,,2023-01-10,2025-05-05
Doloprofen,Antifungal,Tablet,174 mg,AstraZeneca plc,Fever,Prescription,,2025-04-15,2027-08-07
Acetomycin,Antifungal,Syrup,902 mg,"Gilead Sciences, Inc.",Wound,Prescription,,2022-07-18,2023-10-19
Claristatin,Antidiabetic,Injection,743 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter,,2022-01-09,2023-11-14
Amoximet,Antipyretic,Cream,333 mg,Sanofi S.A.,Infection,Prescription,,2024-10-10,2027-03-13
Clarinazole,Antipyretic,Cream,830 mg,Pfizer Inc.,Diabetes,Over-the-Counter,,2025-01-31,2027-04-05
Ibuproprofen,Antidiabetic,Injection,955 mg,Bayer AG,Virus,Prescription,,2023-06-10,2024-11-25
Acetovir,Analgesic,Inhaler,211 mg,Eli Lilly and Company,Diabetes,Over-the-Counter,,2022-11-01,2024-02-27
Dextronazole,Antiseptic,Capsule,946 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,,2023-12-22,2026-09-21
Dextrophen,Antiviral,Syrup,61 mg,GlaxoSmithKline plc,Fever,Prescription,,2025-05-25,2026-07-26
Dolonazole,Antipyretic,Inhaler,270 mg,Johnson & Johnson,Fungus,Over-the-Counter,,2025-02-03,2026-05-30
Ibuprophen,Antiseptic,Tablet,129 mg,Novo Nordisk A/S,Virus,Prescription,,2024-11-12,2026-02-28
Acetostatin,Antifungal,Syrup,142 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription,,2021-05-13,2023-09-17
Metovir,Antidepressant,Injection,500 mg,Pfizer Inc.,Depression,Prescription,,2023-03-15,2026-02-28
Dolovir,Antifungal,Tablet,48 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription,,2025-02-26,2027-10-18
Ibuprostatin,Analgesic,Cream,1 mg,Bristol-Myers Squibb Company,Fever,Prescription,,2023-01-06,2025-02-25
Clariprofen,Antifungal,Drops,712 mg,GlaxoSmithKline plc,Depression,Prescription,,2021-04-25,2023-03-15
Dolostatin,Antiseptic,Capsule,131 mg,GlaxoSmithKline plc,Fever,Prescription,,2023-05-20,2025-01-13
Metonazole,Antipyretic,Tablet,151 mg,Pfizer Inc.,Diabetes,Prescription,,2021-08-11,2024-07-20
Dextromet,Antifungal,Injection,866 mg,Pfizer Inc.,Diabetes,Prescription,,2020-08-26,2023-01-23
Dolophen,Analgesic,Inhaler,888 mg,Bayer AG,Diabetes,Prescription,,2025-06-04,2028-02-11
Amoxistatin,Analgesic,Capsule,312 mg,Novartis AG,Fungus,Over-the-Counter,,2020-09-08,2023-05-19
Ibupromet,Analgesic,Inhaler,764 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter,,2024-03-25,2025-12-01
Metophen,Antifungal,Injection,599 mg,Novo Nordisk A/S,Wound,Over-the-Counter,,2022-10-17,2024-04-19
Ibupronazole,Antifungal,Drops,329 mg,AbbVie Inc.,Wound,Over-the-Counter,,2023-06-07,2025-07-23
Amoxivir,Analgesic,Ointment,222 mg,Roche Holding AG,Virus,Over-the-Counter,,2024-01-11,2026-05-28
Claristatin,Antipyretic,Drops,716 mg,Boehringer Ingelheim GmbH,Fungus,Prescription,,2023-11-01,2026-04-16
Clarimet,Antiseptic,Ointment,62 mg,Johnson & Johnson,Infection,Prescription,,2021-02-10,2022-07-13
Amoxiphen,Antidiabetic,Injection,695 mg,Roche Holding AG,Fungus,Prescription,,2020-04-14,2021-11-23
Dextroprofen,Analgesic,Inhaler,443 mg,AstraZeneca plc,Fungus,Prescription,,2022-02-23,2024-10-12
Ibuprovir,Antiviral,Capsule,217 mg,Roche Holding AG,Wound,Over-the-Counter,,2024-04-09,2026-10-13
Dextrocillin,Antifungal,Drops,672 mg,AstraZeneca plc,Fungus,Over-the-Counter,,2020-07-02,2022-08-23
Metocillin,Antiseptic,Inhaler,942 mg,Novo Nordisk A/S,Depression,Over-the-Counter,,2024-02-06,2026-06-04
Amoxinazole,Antipyretic,Syrup,405 mg,AbbVie Inc.,Wound,Prescription,,2023-12-11,2026-10-24
Metovir,Analgesic,Syrup,404 mg,Takeda Pharmaceutical Company Limited,Fever,Prescription,,2021-09-26,2024-07-28
Amoxinazole,Antibiotic,Inhaler,135 mg,Pfizer Inc.,Fungus,Over-the-Counter,,2021-07-25,2022-12-31
Amoximet,Antiviral,Capsule,13 mg,"Merck & Co., Inc.",Fever,Over-the-Counter,,2023-03-27,2024-05-15
Ibuprophen,Analgesic,Syrup,391 mg,Bayer AG,Pain,Over-the-Counter,,2024-09-15,2027-06-06
Cefvir,Antidiabetic,Ointment,807 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter,,2021-01-16,2022-10-22
Dolovir,Antidiabetic,Inhaler,574 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter,,2025-03-29,2026-09-16
Metoprofen,Antidiabetic,Capsule,74 mg,Amgen Inc.,Infection,Over-the-Counter,,2023-10-10,2025-09-05
Ibupromycin,Antidepressant,Capsule,964 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter,,2021-01-21,2023-09-08
Dextrophen,Antipyretic,Capsule,310 mg,AstraZeneca plc,Pain,Prescription,,2023-03-12,2024-12-28
Dextronazole,Antidiabetic,Injection,874 mg,Biogen Inc.,Fever,Prescription,,2024-04-07,2025-06-11
Claristatin,Antifungal,Cream,118 mg,Novartis AG,Fungus,Prescription,,2020-11-13,2022-08-09
Amoxiprofen,Antifungal,Drops,673 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription,,2021-04-02,2023-03-11
Amoxistatin,Antibiotic,Drops,955 mg,Sanofi S.A.,Fever,Over-the-Counter,,2024-03-17,2025-12-12
Amoximycin,Antiviral,Inhaler,775 mg,AbbVie Inc.,Diabetes,Prescription,,2024-09-16,2025-11-15
Cefphen,Antipyretic,Tablet,128 mg,Boehringer Ingelheim GmbH,Fungus,Prescription,,2021-08-06,2024-06-24
Metomycin,Antidepressant,Drops,479 mg,Amgen Inc.,Fever,Prescription,,2021-01-28,2023-10-18
Dextrovir,Antibiotic,Inhaler,953 mg,"Merck & Co., Inc.",Depression,Prescription,,2020-02-27,2021-07-11
Dextrocillin,Antidepressant,Tablet,35 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter,,2020-04-29,2022-01-12
Acetomycin,Antiviral,Capsule,3 mg,Amgen Inc.,Wound,Over-the-Counter,,2020-08-29,2022-05-11
Metomet,Antidiabetic,Cream,402 mg,Amgen Inc.,Infection,Over-the-Counter,,2021-08-27,2023-07-23
Clarivir,Antibiotic,Capsule,845 mg,AbbVie Inc.,Pain,Over-the-Counter,,2023-07-26,2025-08-21
Metophen,Analgesic,Ointment,193 mg,Biogen Inc.,Fever,Over-the-Counter,,2022-11-21,2025-05-17
Amoxiprofen,Antiseptic,Ointment,667 mg,AstraZeneca plc,Diabetes,Prescription,,2024-04-21,2025-12-30
Dextrovir,Antiviral,Syrup,982 mg,CSL Limited,Depression,Prescription,,2024-10-17,2026-07-10
Acetophen,Antipyretic,Capsule,517 mg,Sanofi S.A.,Infection,Over-the-Counter,,2025-07-26,2026-08-01
Dolostatin,Antiseptic,Capsule,963 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter,,2020-03-11,2022-05-23
Clariprofen,Antibiotic,Capsule,219 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter,,2021-04-27,2023-10-29
Clarimet,Antipyretic,Tablet,698 mg,Johnson & Johnson,Diabetes,Over-the-Counter,,2021-12-04,2022-12-07
Dolocillin,Analgesic,Syrup,955 mg,Biogen Inc.,Wound,Over-the-Counter,,2022-02-21,2024-08-15
Cefnazole,Antiseptic,Capsule,55 mg,Eli Lilly and Company,Virus,Prescription,,2022-06-06,2025-04-13
Acetocillin,Antibiotic,Inhaler,565 mg,AstraZeneca plc,Fever,Over-the-Counter,,2025-03-09,2027-01-09
Dextromycin,Antidiabetic,Injection,543 mg,Roche Holding AG,Virus,Prescription,,2021-10-18,2024-01-22
Acetocillin,Antifungal,Capsule,431 mg,Biogen Inc.,Fungus,Prescription,,2023-02-16,2025-08-16
Clarivir,Antidepressant,Inhaler,817 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription,,2023-03-09,2025-02-21
Acetocillin,Antiseptic,Inhaler,999 mg,Sanofi S.A.,Fever,Prescription,,2025-02-14,2027-06-27
Cefphen,Antifungal,Capsule,879 mg,Sanofi S.A.,Fever,Over-the-Counter,,2020-02-25,2021-09-22
Cefstatin,Antiseptic,Injection,176 mg,Bayer AG,Virus,Over-the-Counter,,2022-09-25,2024-01-15
Acetonazole,Antipyretic,Ointment,688 mg,GlaxoSmithKline plc,Depression,Prescription,,2022-06-01,2023-09-25
Cefnazole,Antidepressant,Tablet,685 mg,Sanofi S.A.,Wound,Over-the-Counter,,2022-12-19,2024-10-29
Clariprofen,Antiseptic,Injection,88 mg,Biogen Inc.,Fungus,Over-the-Counter,,2020-11-18,2023-06-03
Dolostatin,Antidepressant,Inhaler,55 mg,GlaxoSmithKline plc,Wound,Prescription,,2024-09-28,2026-12-04
Amoxistatin,Antidiabetic,Drops,283 mg,Sanofi S.A.,Pain,Prescription,,2020-12-08,2021-12-22
Acetonazole,Antidiabetic,Capsule,350 mg,Sanofi S.A.,Depression,Prescription,,2020-09-13,2022-04-01
Acetomycin,Antifungal,Tablet,670 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter,,2024-04-06,2026-03-18
Clariprofen,Antidiabetic,Drops,861 mg,Pfizer Inc.,Wound,Prescription,,2022-07-26,2023-11-26
Cefphen,Antifungal,Inhaler,614 mg,CSL Limited,Diabetes,Prescription,,2020-10-09,2022-03-13
Cefstatin,Antipyretic,Cream,868 mg,Biogen Inc.,Fever,Over-the-Counter,,2024-03-10,2026-04-22
Metomet,Antiviral,Ointment,249 mg,Sanofi S.A.,Infection,Over-the-Counter,,2021-01-17,2022-08-12
Acetoprofen,Analgesic,Inhaler,311 mg,AstraZeneca plc,Fever,Prescription,,2020-07-31,2022-11-08
Cefvir,Antiseptic,Cream,790 mg,Johnson & Johnson,Fungus,Over-the-Counter,,2022-05-12,2023-10-22
Ibupromycin,Antidepressant,Tablet,904 mg,AstraZeneca plc,Infection,Prescription,,2023-10-23,2025-07-25
Metomycin,Antiseptic,Capsule,588 mg,Boehringer Ingelheim GmbH,Fungus,Prescription,,2021-10-10,2024-09-13
Dextrophen,Antiseptic,Capsule,396 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter,,2020-03-21,2022-04-18
Ibuproprofen,Antipyretic,Cream,31 mg,Pfizer Inc.,Pain,Prescription,,2021-01-23,2022-03-13
Ibuprovir,Antidepressant,Tablet,412 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter,,2023-12-09,2026-12-02
Amoxinazole,Antidepressant,Injection,161 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription,,2024-09-08,2027-05-02
Acetomycin,Antiseptic,Inhaler,799 mg,Pfizer Inc.,Fungus,Over-the-Counter,,2020-03-06,2021-07-27
Cefstatin,Antiseptic,Tablet,283 mg,CSL Limited,Infection,Prescription,,2024-01-05,2025-06-18
Cefnazole,Antidepressant,Ointment,361 mg,Roche Holding AG,Fever,Prescription,,2021-08-13,2022-10-18
Cefvir,Antibiotic,Drops,305 mg,Biogen Inc.,Fever,Prescription,,2022-02-13,2023-03-04
Claristatin,Antibiotic,Capsule,713 mg,GlaxoSmithKline plc,Wound,Over-the-Counter,,2023-10-02,2026-06-15
Cefphen,Antifungal,Ointment,348 mg,AstraZeneca plc,Pain,Prescription,,2020-02-16,2021-04-24
Amoximycin,Antibiotic,Inhaler,56 mg,AbbVie Inc.,Pain,Over-the-Counter,,2024-09-29,2026-12-26
Dolostatin,Antibiotic,Inhaler,729 mg,AstraZeneca plc,Fever,Over-the-Counter,,2020-03-20,2021-04-13
Acetonazole,Antipyretic,Capsule,875 mg,Eli Lilly and Company,Virus,Prescription,,2020-07-23,2022-05-28
Metomet,Antipyretic,Syrup,756 mg,Johnson & Johnson,Wound,Prescription,,2025-02-06,2026-02-17
Ibuprophen,Antidiabetic,Syrup,884 mg,Sanofi S.A.,Pain,Prescription,,2020-01-13,2022-08-11
Amoxicillin,Antiviral,Syrup,311 mg,Johnson & Johnson,Fungus,Prescription,,2022-03-05,2025-01-26
Cefprofen,Antidepressant,Syrup,265 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,,2025-06-01,2027-01-20
Acetomycin,Antidiabetic,Inhaler,845 mg,Amgen Inc.,Virus,Prescription,,2023-05-09,2024-09-17
Acetovir,Antiseptic,Injection,981 mg,Pfizer Inc.,Fungus,Prescription,,2023-08-16,2026-07-13
Cefmycin,Antibiotic,Ointment,551 mg,Pfizer Inc.,Virus,Prescription,,2021-02-01,2023-09-14
Metostatin,Antiviral,Capsule,274 mg,Biogen Inc.,Depression,Prescription,,2021-07-31,2024-05-04
Acetocillin,Antidiabetic,Drops,881 mg,Bristol-Myers Squibb Company,Virus,Prescription,,2022-05-21,2024-02-19
Cefprofen,Antidiabetic,Inhaler,133 mg,Sanofi S.A.,Diabetes,Prescription,,2024-05-19,2027-04-30
Dolocillin,Antiviral,Tablet,197 mg,Boehringer Ingelheim GmbH,Depression,Prescription,,2024-04-26,2026-12-29
Cefvir,Antifungal,Cream,186 mg,"Gilead Sciences, Inc.",Fever,Prescription,,2025-05-16,2026-10-14
Cefmet,Antibiotic,Ointment,81 mg,Boehringer Ingelheim GmbH,Fungus,Prescription,,2021-03-11,2023-06-05
Cefphen,Antiseptic,Tablet,359 mg,AbbVie Inc.,Diabetes,Prescription,,2020-05-30,2021-12-31
Acetostatin,Antibiotic,Syrup,524 mg,Sanofi S.A.,Wound,Over-the-Counter,,2024-12-12,2027-10-01
Ibupronazole,Antiviral,Syrup,46 mg,Roche Holding AG,Pain,Over-the-Counter,,2021-02-07,2022-12-13
Clarinazole,Antidiabetic,Inhaler,126 mg,"Gilead Sciences, Inc.",Infection,Prescription,,2021-12-09,2023-07-29
Clarivir,Antibiotic,Injection,681 mg,Johnson & Johnson,Diabetes,Over-the-Counter,,2021-04-04,2023-08-09
Dextromycin,Antibiotic,Drops,944 mg,AstraZeneca plc,Pain,Prescription,,2025-05-23,2026-10-18
Ibupromycin,Antiviral,Drops,195 mg,Sanofi S.A.,Fever,Prescription,,2023-02-20,2025-01-21
Ibuproprofen,Antipyretic,Cream,452 mg,Eli Lilly and Company,Fever,Over-the-Counter,,2020-07-19,2022-10-17
Dextromet,Antiviral,Inhaler,169 mg,"Gilead Sciences, Inc.",Fever,Prescription,,2023-08-11,2025-12-01
Clariprofen,Antifungal,Cream,984 mg,Sanofi S.A.,Pain,Prescription,,2023-01-26,2025-06-15
Claristatin,Analgesic,Tablet,631 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter,,2022-10-27,2024-07-27
Dolostatin,Antiseptic,Ointment,530 mg,Bayer AG,Fungus,Prescription,,2023-12-13,2025-06-10
Dolocillin,Antiseptic,Syrup,755 mg,CSL Limited,Fever,Prescription,,2021-07-02,2023-09-08
Dextrophen,Antibiotic,Drops,630 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter,,2021-09-18,2023-02-15
Ibuprovir,Antidepressant,Cream,694 mg,GlaxoSmithKline plc,Fungus,Prescription,,2024-05-18,2026-08-31
Clarivir,Antidiabetic,Tablet,188 mg,"Gilead Sciences, Inc.",Depression,Prescription,,2024-07-23,2026-02-11
Clariprofen,Antipyretic,Inhaler,40 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter,,2024-09-25,2027-05-09
Dolovir,Antidepressant,Injection,176 mg,Biogen Inc.,Wound,Prescription,,2021-07-17,2023-10-23
Clarivir,Antidepressant,Injection,589 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter,,2024-08-23,2026-07-15
Metovir,Antiviral,Syrup,347 mg,Eli Lilly and Company,Depression,Over-the-Counter,,2021-02-21,2022-07-19
Dolocillin,Antiviral,Ointment,912 mg,Amgen Inc.,Fungus,Over-the-Counter,,2023-04-26,2025-01-26
Acetophen,Antibiotic,Inhaler,448 mg,Biogen Inc.,Depression,Over-the-Counter,,2024-05-28,2025-07-01
Cefprofen,Analgesic,Ointment,465 mg,Bristol-Myers Squibb Company,Fever,Prescription,,2021-12-07,2023-07-10
Amoxinazole,Antiseptic,Cream,704 mg,Amgen Inc.,Infection,Prescription,,2020-07-14,2021-07-14
Ibupromet,Antiviral,Capsule,173 mg,Biogen Inc.,Pain,Over-the-Counter,,2024-02-15,2027-02-01
Metophen,Antifungal,Syrup,98 mg,Pfizer Inc.,Depression,Prescription,,2022-12-08,2025-03-19
Dextrocillin,Antiviral,Injection,548 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription,,2021-02-20,2023-10-16
Metostatin,Antipyretic,Tablet,281 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription,,2022-03-25,2024-07-02
Ibuproprofen,Antifungal,Drops,393 mg,Amgen Inc.,Depression,Over-the-Counter,,2024-11-08,2027-02-01
Amoxistatin,Antidiabetic,Cream,291 mg,Amgen Inc.,Fungus,Prescription,,2022-09-27,2025-05-21
Dextromycin,Antiseptic,Injection,632 mg,AstraZeneca plc,Virus,Over-the-Counter,,2021-12-17,2023-02-24
Cefvir,Antipyretic,Injection,64 mg,Novartis AG,Diabetes,Over-the-Counter,,2022-04-02,2025-01-04
Dextrostatin,Antiseptic,Inhaler,948 mg,Novartis AG,Infection,Over-the-Counter,,2023-10-05,2025-06-17
Acetonazole,Antipyretic,Inhaler,658 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter,,2022-12-11,2024-03-11
Dextromycin,Antiviral,Drops,405 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter,,2022-05-17,2024-12-30
Cefcillin,Antidiabetic,Syrup,880 mg,Amgen Inc.,Virus,Prescription,,2021-02-08,2023-02-14
Dextromycin,Antifungal,Cream,689 mg,Roche Holding AG,Depression,Over-the-Counter,,2023-06-24,2024-09-29
Clariphen,Antidepressant,Inhaler,391 mg,Boehringer Ingelheim GmbH,Virus,Prescription,,2022-10-15,2025-03-07
Metostatin,Analgesic,Ointment,659 mg,Novo Nordisk A/S,Fever,Over-the-Counter,,2020-01-13,2022-07-30
Acetophen,Antibiotic,Capsule,645 mg,Novo Nordisk A/S,Infection,Over-the-Counter,,2023-08-17,2026-03-30
Dolomycin,Antiseptic,Inhaler,854 mg,Novo Nordisk A/S,Infection,Prescription,,2021-07-29,2023-12-17
Ibuprocillin,Antidepressant,Tablet,72 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter,,2024-02-17,2026-01-24
Dextromet,Antidiabetic,Ointment,40 mg,Roche Holding AG,Pain,Prescription,,2023-09-13,2025-05-15
Amoximycin,Antifungal,Drops,697 mg,Eli Lilly and Company,Infection,Prescription,,2024-10-26,2027-02-09
Dextromycin,Analgesic,Drops,946 mg,Boehringer Ingelheim GmbH,Infection,Prescription,,2024-04-25,2026-01-28
Cefnazole,Antiviral,Syrup,734 mg,Sanofi S.A.,Fungus,Prescription,,2022-03-14,2024-08-04
Dextromet,Antifungal,Drops,367 mg,Bayer AG,Fungus,Over-the-Counter,,2023-03-05,2025-05-08
Clariprofen,Antidepressant,Cream,147 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,,2021-05-31,2023-08-15
Cefmycin,Antifungal,Syrup,156 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter,,2020-03-09,2021-11-24
Clariprofen,Antidiabetic,Injection,174 mg,Johnson & Johnson,Depression,Over-the-Counter,,2021-11-09,2023-07-21
Ibupromet,Antifungal,Ointment,717 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription,,2024-12-27,2027-04-01
Acetomycin,Antidepressant,Cream,239 mg,Bayer AG,Infection,Over-the-Counter,,2025-07-13,2028-02-27
Cefprofen,Antiseptic,Capsule,119 mg,"Merck & Co., Inc.",Infection,Prescription,,2021-10-11,2023-07-02
Amoxicillin,Antipyretic,Ointment,836 mg,Amgen Inc.,Fungus,Prescription,,2021-11-06,2024-04-03
Dextromet,Antiviral,Tablet,818 mg,Biogen Inc.,Depression,Prescription,,2025-03-07,2027-05-25
Dolocillin,Antidiabetic,Drops,508 mg,AstraZeneca plc,Virus,Over-the-Counter,,2021-03-20,2022-10-28
Dextromet,Analgesic,Tablet,131 mg,Eli Lilly and Company,Fungus,Prescription,,2025-05-23,2026-11-30
Acetostatin,Antipyretic,Syrup,404 mg,"Merck & Co., Inc.",Fever,Over-the-Counter,,2020-02-15,2022-08-25
Amoxivir,Antifungal,Capsule,262 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription,,2023-03-22,2025-06-03
Ibuprostatin,Analgesic,Capsule,775 mg,AstraZeneca plc,Virus,Over-the-Counter,,2023-10-10,2025-07-04
Ibuproprofen,Antidiabetic,Syrup,313 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter,,2022-07-23,2023-09-01
Ibuproprofen,Antibiotic,Inhaler,799 mg,Boehringer Ingelheim GmbH,Infection,Prescription,,2021-06-21,2024-04-01
Dolovir,Antiviral,Syrup,750 mg,Novartis AG,Virus,Prescription,,2023-08-21,2024-09-29
Metophen,Analgesic,Cream,434 mg,Amgen Inc.,Diabetes,Prescription,,2020-12-14,2022-11-09
Dextrostatin,Antifungal,Cream,578 mg,Roche Holding AG,Virus,Prescription,,2020-08-31,2022-02-21
Dolomycin,Antibiotic,Cream,614 mg,Johnson & Johnson,Diabetes,Prescription,,2024-09-19,2026-11-25
Metomet,Antiseptic,Tablet,71 mg,Roche Holding AG,Diabetes,Prescription,,2025-03-24,2027-06-15
Dextroprofen,Antipyretic,Inhaler,633 mg,AstraZeneca plc,Diabetes,Prescription,,2021-12-10,2023-10-28
Clarimycin,Antidiabetic,Inhaler,920 mg,Pfizer Inc.,Fever,Over-the-Counter,,2025-04-13,2027-01-17
Ibuprocillin,Antiviral,Inhaler,760 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,,2024-07-02,2025-10-03
Dextronazole,Antiseptic,Ointment,519 mg,GlaxoSmithKline plc,Depression,Over-the-Counter,,2020-01-07,2021-12-11
Acetonazole,Antibiotic,Capsule,846 mg,AbbVie Inc.,Fever,Over-the-Counter,,2023-11-20,2026-01-12
Metostatin,Analgesic,Inhaler,499 mg,CSL Limited,Pain,Prescription,,2021-04-27,2022-11-17
Acetomet,Antipyretic,Inhaler,501 mg,Eli Lilly and Company,Depression,Prescription,,2021-06-15,2024-01-03
Dextroprofen,Antidepressant,Tablet,780 mg,Novartis AG,Virus,Over-the-Counter,,2023-07-12,2025-03-27
Metoprofen,Antipyretic,Inhaler,753 mg,Roche Holding AG,Fever,Prescription,,2020-11-04,2023-09-14
Amoxiprofen,Antipyretic,Cream,918 mg,Sanofi S.A.,Pain,Over-the-Counter,,2021-07-02,2024-05-14
Metophen,Antifungal,Drops,537 mg,Biogen Inc.,Fungus,Prescription,,2021-09-16,2023-10-11
Cefstatin,Antidiabetic,Capsule,691 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter,,2020-03-02,2022-12-10
Metoprofen,Antidiabetic,Drops,624 mg,CSL Limited,Infection,Over-the-Counter,,2024-06-29,2026-04-02
Acetonazole,Antifungal,Tablet,475 mg,Novartis AG,Diabetes,Over-the-Counter,,2022-11-28,2025-03-22
Cefvir,Antipyretic,Ointment,847 mg,Sanofi S.A.,Virus,Over-the-Counter,,2020-01-24,2022-04-18
Dextrovir,Antifungal,Ointment,62 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription,,2020-03-12,2021-12-27
Cefvir,Antidepressant,Drops,21 mg,Bayer AG,Depression,Over-the-Counter,,2021-05-14,2024-02-19
Dolocillin,Antiviral,Tablet,705 mg,Pfizer Inc.,Pain,Prescription,,2020-11-06,2022-02-18
Cefstatin,Antidepressant,Ointment,80 mg,Pfizer Inc.,Fever,Over-the-Counter,,2020-09-15,2022-09-26
Dolonazole,Antipyretic,Syrup,871 mg,Eli Lilly and Company,Virus,Over-the-Counter,,2021-09-22,2023-03-30
Clarimycin,Antidiabetic,Cream,611 mg,Biogen Inc.,Fungus,Over-the-Counter,,2025-03-11,2026-09-21
Metovir,Antidiabetic,Injection,231 mg,"Gilead Sciences, Inc.",Depression,Prescription,,2023-12-23,2026-07-20
Dolocillin,Antifungal,Capsule,513 mg,Roche Holding AG,Pain,Prescription,,2021-10-25,2023-11-05
Cefvir,Antibiotic,Tablet,247 mg,Johnson & Johnson,Pain,Prescription,,2025-01-02,2027-11-15
Metocillin,Antiseptic,Injection,81 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter,,2022-09-05,2023-09-22
Doloprofen,Antipyretic,Ointment,661 mg,Amgen Inc.,Virus,Prescription,,2021-06-17,2023-03-02
Metoprofen,Antidiabetic,Inhaler,115 mg,Eli Lilly and Company,Wound,Over-the-Counter,,2021-03-28,2023-04-03
Acetomet,Antidiabetic,Syrup,760 mg,"Merck & Co., Inc.",Depression,Over-the-Counter,,2022-09-28,2025-08-29
Acetomycin,Antidiabetic,Inhaler,334 mg,Biogen Inc.,Depression,Prescription,,2020-02-03,2022-09-17
Clariprofen,Antidiabetic,Syrup,739 mg,CSL Limited,Fungus,Over-the-Counter,,2021-03-07,2022-05-05
Clarivir,Analgesic,Ointment,826 mg,"Gilead Sciences, Inc.",Diabetes,Prescription,,2022-05-01,2023-08-13
Dolomet,Antipyretic,Drops,944 mg,AstraZeneca plc,Diabetes,Over-the-Counter,,2023-10-27,2025-12-25
