Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,Unnamed: 7,Manufactured Date,Expiry Date,Strength_mg
amoxivir,antidiabetic,injection,412 mg,abbvie inc.,diabetes,prescription,,2025-07-21,2027-10-04,412.0
cefvir,antipyretic,syrup,374 mg,pfizer inc.,wound,over-the-counter,,2025-02-24,2026-06-15,374.0
clariphen,antiviral,inhaler,656 mg,"gilead sciences, inc.",depression,prescription,,2024-05-17,2025-06-25,656.0
clarinazole,antifungal,syrup,761 mg,roche holding ag,pain,prescription,,2023-05-02,2024-08-10,761.0
clariprofen,antipyretic,tablet,990 mg,johnson & johnson,infection,prescription,,2024-05-27,2026-05-30,990.0
dextrophen,antiviral,ointment,573 mg,bristol-myers squibb company,wound,prescription,,2024-09-25,2026-03-17,573.0
ibupronazole,antidepressant,tablet,880 mg,amgen inc.,wound,over-the-counter,,2020-09-13,2022-08-19,880.0
amoxivir,antibiotic,cream,51 mg,eli lilly and company,wound,over-the-counter,,2023-02-03,2024-08-16,51.0
dolovir,antidiabetic,drops,54 mg,novartis ag,pain,over-the-counter,,2023-11-04,2026-06-09,54.0
acetostatin,antifungal,cream,739 mg,abbvie inc.,depression,over-the-counter,,2020-07-18,2022-01-15,739.0
cefmet,antifungal,drops,916 mg,abbvie inc.,diabetes,prescription,,2024-11-21,2026-10-09,916.0
dolocillin,antifungal,syrup,130 mg,csl limited,wound,prescription,,2022-09-08,2023-12-29,130.0
acetoprofen,antidepressant,tablet,99 mg,"merck & co., inc.",virus,prescription,,2021-07-30,2024-06-03,99.0
ibupromet,analgesic,capsule,444 mg,roche holding ag,infection,over-the-counter,,2023-08-17,2026-02-17,444.0
dolomet,antidepressant,inhaler,536 mg,bristol-myers squibb company,virus,prescription,,2020-02-06,2021-09-27,536.0
ibuprophen,antipyretic,ointment,446 mg,amgen inc.,infection,prescription,,2020-06-04,2022-10-21,446.0
amoxinazole,antibiotic,capsule,431 mg,biogen inc.,fever,prescription,,2025-01-17,2026-03-28,431.0
cefnazole,analgesic,drops,880 mg,glaxosmithkline plc,virus,over-the-counter,,2022-09-12,2024-04-17,880.0
doloprofen,antifungal,cream,213 mg,glaxosmithkline plc,fungus,over-the-counter,,2022-09-27,2025-02-24,213.0
dolomycin,analgesic,drops,634 mg,teva pharmaceutical industries ltd.,fungus,prescription,,2023-07-01,2024-12-11,634.0
acetomycin,antipyretic,cream,495 mg,novartis ag,virus,prescription,,2024-03-03,2026-07-28,495.0
dolocillin,antidepressant,ointment,114 mg,biogen inc.,fever,prescription,,2021-08-05,2023-08-20,114.0
clarivir,antidiabetic,ointment,130 mg,eli lilly and company,fungus,prescription,,2022-04-08,2023-10-08,130.0
amoximycin,antidiabetic,syrup,259 mg,sanofi s.a.,wound,prescription,,2022-01-26,2024-01-29,259.0
acetocillin,analgesic,tablet,554 mg,amgen inc.,fever,prescription,,2023-02-09,2025-05-01,554.0
amoxinazole,antipyretic,inhaler,13 mg,biogen inc.,depression,over-the-counter,,2025-02-02,2026-02-09,13.0
dolomet,analgesic,drops,976 mg,amgen inc.,virus,over-the-counter,,2021-06-21,2024-03-01,976.0
ibuprovir,analgesic,capsule,402 mg,eli lilly and company,pain,over-the-counter,,2024-05-10,2026-05-26,402.0
clariphen,antiviral,inhaler,465 mg,glaxosmithkline plc,depression,over-the-counter,,2022-02-27,2024-03-14,465.0
metostatin,antidepressant,tablet,711 mg,eli lilly and company,diabetes,over-the-counter,,2022-05-24,2024-08-13,711.0
acetostatin,analgesic,capsule,813 mg,boehringer ingelheim gmbh,diabetes,over-the-counter,,2025-01-31,2027-12-28,813.0
metonazole,antidepressant,inhaler,652 mg,sanofi s.a.,fungus,prescription,,2023-02-16,2024-07-18,652.0
acetocillin,analgesic,cream,442 mg,csl limited,fever,over-the-counter,,2020-01-28,2021-03-01,442.0
metostatin,antiseptic,capsule,779 mg,biogen inc.,virus,prescription,,2021-12-31,2024-05-10,779.0
ibuprocillin,antibiotic,syrup,782 mg,amgen inc.,fever,prescription,,2020-07-22,2021-08-12,782.0
dolovir,antiseptic,injection,91 mg,novo nordisk a/s,wound,over-the-counter,,2024-11-27,2026-12-11,91.0
metovir,antibiotic,syrup,389 mg,csl limited,diabetes,prescription,,2023-05-20,2024-10-13,389.0
metostatin,antidiabetic,drops,983 mg,bayer ag,infection,prescription,,2023-07-04,2026-04-26,983.0
acetonazole,antiseptic,drops,725 mg,novo nordisk a/s,fever,prescription,,2022-08-18,2025-03-18,725.0
dextrovir,antifungal,syrup,442 mg,abbvie inc.,fever,over-the-counter,,2022-12-23,2025-08-03,442.0
acetophen,antibiotic,cream,491 mg,bayer ag,virus,prescription,,2021-07-18,2024-01-19,491.0
ibupronazole,antibiotic,ointment,118 mg,biogen inc.,fever,over-the-counter,,2025-04-04,2028-02-09,118.0
metostatin,antibiotic,inhaler,100 mg,glaxosmithkline plc,fever,prescription,,2024-04-10,2025-07-17,100.0
acetonazole,antiseptic,ointment,198 mg,astrazeneca plc,fever,prescription,,2023-12-27,2026-09-27,198.0
dolomycin,antidiabetic,cream,447 mg,"gilead sciences, inc.",virus,over-the-counter,,2022-05-31,2024-11-11,447.0
amoxicillin,antipyretic,capsule,6 mg,abbvie inc.,pain,over-the-counter,,2024-03-17,2025-12-12,6.0
ibupromet,antiseptic,tablet,529 mg,takeda pharmaceutical company limited,wound,prescription,,2024-03-24,2025-03-24,529.0
dextrocillin,antidepressant,tablet,135 mg,csl limited,fungus,over-the-counter,,2024-06-10,2026-03-23,135.0
dextronazole,antidepressant,ointment,96 mg,csl limited,infection,prescription,,2022-04-08,2023-10-04,96.0
amoxinazole,antidiabetic,drops,380 mg,roche holding ag,wound,over-the-counter,,2021-05-08,2023-01-18,380.0
amoximycin,antidepressant,inhaler,916 mg,novartis ag,infection,prescription,,2025-01-31,2026-07-23,916.0
cefcillin,antidiabetic,ointment,158 mg,bayer ag,fungus,over-the-counter,,2023-08-15,2024-10-02,158.0
acetocillin,antiseptic,tablet,352 mg,"merck & co., inc.",infection,over-the-counter,,2020-05-11,2022-10-24,352.0
ibuprophen,antifungal,cream,673 mg,novo nordisk a/s,fungus,prescription,,2023-07-16,2026-03-23,673.0
ibuproprofen,antiviral,tablet,340 mg,csl limited,wound,over-the-counter,,2022-08-04,2024-02-09,340.0
clariphen,antibiotic,syrup,446 mg,bristol-myers squibb company,fungus,prescription,,2023-01-30,2024-03-12,446.0
clarivir,analgesic,injection,965 mg,novartis ag,virus,prescription,,2021-09-03,2024-02-01,965.0
dextrostatin,antibiotic,injection,485 mg,biogen inc.,depression,over-the-counter,,2022-05-15,2023-07-19,485.0
acetomet,antifungal,inhaler,756 mg,roche holding ag,wound,over-the-counter,,2023-04-07,2025-05-06,756.0
claristatin,antidiabetic,tablet,11 mg,"merck & co., inc.",fungus,over-the-counter,,2022-05-07,2024-01-12,11.0
dextrostatin,antifungal,drops,205 mg,"merck & co., inc.",pain,over-the-counter,,2023-02-13,2024-06-19,205.0
cefmet,antipyretic,drops,408 mg,bayer ag,fungus,prescription,,2024-05-24,2027-04-20,408.0
clarimet,antidepressant,ointment,173 mg,"gilead sciences, inc.",virus,over-the-counter,,2022-11-24,2024-05-29,173.0
dolophen,analgesic,ointment,329 mg,teva pharmaceutical industries ltd.,wound,prescription,,2020-11-20,2022-05-21,329.0
dolomet,antiviral,injection,150 mg,abbvie inc.,virus,over-the-counter,,2025-03-29,2027-11-01,150.0
clariphen,antipyretic,syrup,891 mg,bayer ag,infection,over-the-counter,,2020-01-28,2022-08-27,891.0
dextromycin,antidiabetic,drops,983 mg,abbvie inc.,depression,over-the-counter,,2021-10-01,2024-07-28,983.0
dolostatin,antiseptic,injection,138 mg,novartis ag,infection,over-the-counter,,2022-04-22,2024-06-06,138.0
dextrophen,antiseptic,capsule,487 mg,abbvie inc.,pain,prescription,,2021-11-21,2023-02-07,487.0
cefnazole,antiviral,ointment,628 mg,boehringer ingelheim gmbh,fungus,over-the-counter,,2022-09-29,2023-10-17,628.0
metocillin,antiviral,ointment,572 mg,"gilead sciences, inc.",pain,over-the-counter,,2021-01-11,2023-05-03,572.0
dextromet,antidiabetic,capsule,729 mg,bayer ag,infection,prescription,,2022-02-13,2023-03-29,729.0
clarimet,antibiotic,drops,675 mg,roche holding ag,fever,prescription,,2022-05-22,2023-12-29,675.0
acetocillin,antiseptic,ointment,800 mg,abbvie inc.,fungus,over-the-counter,,2022-09-01,2024-01-07,800.0
dolovir,analgesic,injection,698 mg,sanofi s.a.,diabetes,prescription,,2023-12-27,2026-09-04,698.0
clarimet,antibiotic,capsule,878 mg,eli lilly and company,virus,prescription,,2023-02-24,2025-11-17,878.0
amoximycin,antifungal,injection,725 mg,abbvie inc.,fungus,over-the-counter,,2022-06-11,2024-01-26,725.0
cefmet,antidiabetic,inhaler,980 mg,johnson & johnson,depression,over-the-counter,,2024-11-12,2026-06-26,980.0
clarivir,antidepressant,capsule,762 mg,johnson & johnson,infection,over-the-counter,,2024-11-04,2026-12-05,762.0
acetoprofen,antidiabetic,drops,479 mg,astrazeneca plc,fever,over-the-counter,,2022-04-18,2024-01-17,479.0
metomet,antiseptic,cream,168 mg,csl limited,diabetes,over-the-counter,,2021-02-09,2022-06-26,168.0
metostatin,antidepressant,ointment,580 mg,astrazeneca plc,fever,prescription,,2020-03-08,2021-08-27,580.0
ibupronazole,antibiotic,tablet,45 mg,novartis ag,pain,prescription,,2020-10-05,2022-08-27,45.0
cefstatin,antidepressant,ointment,94 mg,boehringer ingelheim gmbh,diabetes,over-the-counter,,2025-03-04,2026-10-04,94.0
cefvir,antidepressant,inhaler,637 mg,takeda pharmaceutical company limited,wound,over-the-counter,,2022-12-02,2024-07-16,637.0
dolomet,antidepressant,tablet,654 mg,csl limited,fever,over-the-counter,,2024-12-29,2026-04-14,654.0
ibuprophen,antifungal,syrup,926 mg,johnson & johnson,wound,over-the-counter,,2020-07-30,2022-01-04,926.0
cefnazole,antiviral,tablet,338 mg,roche holding ag,pain,prescription,,2024-09-14,2026-01-27,338.0
cefmet,analgesic,drops,546 mg,astrazeneca plc,wound,prescription,,2023-03-18,2024-04-15,546.0
clarimycin,antipyretic,drops,301 mg,"merck & co., inc.",virus,over-the-counter,,2023-03-17,2024-06-21,301.0
metomet,antifungal,inhaler,664 mg,novo nordisk a/s,virus,prescription,,2022-05-08,2025-01-05,664.0
metostatin,antibiotic,inhaler,556 mg,sanofi s.a.,diabetes,prescription,,2024-07-08,2026-12-12,556.0
acetoprofen,antifungal,syrup,191 mg,astrazeneca plc,infection,prescription,,2024-02-19,2026-01-25,191.0
cefcillin,analgesic,ointment,291 mg,"gilead sciences, inc.",fever,prescription,,2022-10-15,2024-03-30,291.0
claricillin,antidepressant,tablet,417 mg,biogen inc.,virus,over-the-counter,,2022-09-01,2024-03-29,417.0
metovir,antifungal,capsule,622 mg,sanofi s.a.,fever,prescription,,2023-02-17,2025-12-31,622.0
dextromet,antibiotic,tablet,52 mg,glaxosmithkline plc,infection,prescription,,2023-09-20,2026-06-12,52.0
clariprofen,antifungal,capsule,158 mg,csl limited,infection,over-the-counter,,2023-04-30,2024-10-30,158.0
dextrovir,antifungal,cream,446 mg,"gilead sciences, inc.",fungus,prescription,,2020-06-07,2022-08-12,446.0
amoxistatin,antibiotic,inhaler,392 mg,novartis ag,fever,prescription,,2023-01-30,2025-03-28,392.0
amoxiphen,antifungal,cream,345 mg,bayer ag,virus,over-the-counter,,2025-07-17,2026-08-24,345.0
clarivir,antiseptic,cream,432 mg,novartis ag,fever,over-the-counter,,2025-07-20,2027-08-10,432.0
clarivir,analgesic,inhaler,282 mg,boehringer ingelheim gmbh,infection,prescription,,2024-11-19,2027-02-12,282.0
ibupromet,antiviral,cream,116 mg,johnson & johnson,diabetes,prescription,,2024-12-09,2026-04-02,116.0
amoximet,antipyretic,syrup,848 mg,abbvie inc.,virus,prescription,,2022-09-06,2024-10-10,848.0
metophen,antidepressant,injection,371 mg,boehringer ingelheim gmbh,wound,over-the-counter,,2022-10-05,2024-08-03,371.0
cefphen,antifungal,inhaler,769 mg,bayer ag,wound,over-the-counter,,2020-09-16,2023-05-11,769.0
cefmycin,analgesic,injection,265 mg,"gilead sciences, inc.",wound,over-the-counter,,2024-10-15,2026-08-19,265.0
clarivir,antipyretic,tablet,665 mg,glaxosmithkline plc,fungus,prescription,,2024-03-07,2026-09-30,665.0
dextromet,antibiotic,capsule,942 mg,abbvie inc.,fungus,over-the-counter,,2023-07-14,2024-10-23,942.0
amoximycin,antiviral,cream,415 mg,teva pharmaceutical industries ltd.,infection,over-the-counter,,2022-08-31,2025-08-26,415.0
acetovir,antiviral,cream,648 mg,glaxosmithkline plc,wound,over-the-counter,,2023-06-10,2024-09-18,648.0
dextromycin,antidepressant,tablet,110 mg,amgen inc.,infection,over-the-counter,,2021-10-13,2024-07-28,110.0
dolophen,analgesic,inhaler,817 mg,johnson & johnson,fever,over-the-counter,,2023-08-31,2024-11-27,817.0
clarimycin,analgesic,syrup,927 mg,eli lilly and company,virus,prescription,,2022-05-18,2023-09-12,927.0
cefmycin,antifungal,capsule,75 mg,takeda pharmaceutical company limited,pain,prescription,,2025-02-26,2026-07-14,75.0
amoxinazole,antiviral,inhaler,485 mg,roche holding ag,depression,prescription,,2025-03-10,2027-01-06,485.0
cefphen,antiviral,syrup,984 mg,takeda pharmaceutical company limited,fever,prescription,,2021-02-18,2023-11-27,984.0
doloprofen,antidepressant,injection,359 mg,biogen inc.,fungus,over-the-counter,,2022-02-24,2024-07-24,359.0
acetomet,antifungal,drops,638 mg,eli lilly and company,depression,prescription,,2022-11-13,2024-06-08,638.0
acetostatin,antidiabetic,inhaler,909 mg,glaxosmithkline plc,wound,prescription,,2024-09-20,2025-12-15,909.0
metonazole,antidepressant,drops,314 mg,boehringer ingelheim gmbh,diabetes,over-the-counter,,2024-04-06,2026-02-18,314.0
clarimet,antiseptic,drops,985 mg,amgen inc.,wound,prescription,,2020-05-11,2023-02-02,985.0
acetovir,antiseptic,syrup,504 mg,johnson & johnson,fever,prescription,,2022-02-24,2023-10-26,504.0
clariprofen,antidepressant,drops,31 mg,glaxosmithkline plc,fever,over-the-counter,,2023-07-28,2024-10-24,31.0
dextromet,antiseptic,syrup,154 mg,boehringer ingelheim gmbh,virus,over-the-counter,,2022-12-27,2025-04-17,154.0
ibuprocillin,antifungal,capsule,791 mg,boehringer ingelheim gmbh,fungus,prescription,,2023-09-17,2026-06-29,791.0
acetovir,analgesic,injection,776 mg,johnson & johnson,fungus,prescription,,2021-06-28,2022-10-17,776.0
dolovir,antipyretic,inhaler,458 mg,eli lilly and company,fungus,prescription,,2024-04-10,2026-05-08,458.0
dolomet,analgesic,cream,818 mg,bayer ag,depression,over-the-counter,,2021-10-16,2023-06-12,818.0
amoxiprofen,antibiotic,tablet,107 mg,takeda pharmaceutical company limited,fungus,prescription,,2025-04-16,2027-01-12,107.0
dextrovir,antifungal,syrup,978 mg,abbvie inc.,diabetes,over-the-counter,,2022-06-04,2023-10-24,978.0
dolocillin,antipyretic,ointment,397 mg,amgen inc.,infection,over-the-counter,,2021-05-07,2024-04-24,397.0
ibuprostatin,antiviral,drops,562 mg,eli lilly and company,infection,prescription,,2024-06-13,2025-10-09,562.0
clarinazole,antiseptic,syrup,657 mg,bristol-myers squibb company,fungus,prescription,,2021-05-06,2023-12-22,657.0
metonazole,antidepressant,capsule,246 mg,bayer ag,depression,over-the-counter,,2023-05-19,2025-01-23,246.0
acetophen,antibiotic,drops,618 mg,abbvie inc.,fungus,over-the-counter,,2025-07-06,2027-04-09,618.0
ibuprophen,antidiabetic,injection,115 mg,pfizer inc.,pain,over-the-counter,,2025-02-06,2026-07-18,115.0
dolocillin,analgesic,tablet,579 mg,glaxosmithkline plc,wound,prescription,,2024-06-03,2027-03-18,579.0
acetoprofen,antipyretic,ointment,63 mg,"merck & co., inc.",fungus,prescription,,2025-04-13,2027-03-28,63.0
cefphen,antidepressant,cream,444 mg,bayer ag,fungus,prescription,,2022-01-22,2023-02-21,444.0
ibuproprofen,antibiotic,injection,990 mg,csl limited,depression,over-the-counter,,2022-10-02,2025-01-01,990.0
amoxiprofen,antidepressant,inhaler,873 mg,johnson & johnson,diabetes,prescription,,2020-05-04,2021-08-02,873.0
ibuprostatin,antifungal,drops,798 mg,roche holding ag,depression,prescription,,2020-05-09,2021-09-13,798.0
acetovir,antibiotic,ointment,292 mg,roche holding ag,infection,over-the-counter,,2023-01-13,2025-07-13,292.0
metostatin,analgesic,syrup,533 mg,pfizer inc.,virus,over-the-counter,,2021-01-24,2024-01-18,533.0
acetomycin,analgesic,injection,562 mg,novartis ag,wound,prescription,,2020-10-21,2023-03-13,562.0
dextrostatin,antiviral,syrup,68 mg,"merck & co., inc.",infection,over-the-counter,,2021-05-20,2023-01-11,68.0
doloprofen,antiseptic,syrup,65 mg,boehringer ingelheim gmbh,pain,over-the-counter,,2021-04-06,2023-09-20,65.0
metoprofen,antidepressant,tablet,850 mg,"gilead sciences, inc.",depression,prescription,,2025-07-13,2028-03-11,850.0
dextroprofen,analgesic,tablet,280 mg,novartis ag,diabetes,prescription,,2022-10-12,2023-12-01,280.0
dolophen,antifungal,drops,97 mg,boehringer ingelheim gmbh,pain,prescription,,2024-01-14,2026-04-26,97.0
doloprofen,antiseptic,syrup,757 mg,astrazeneca plc,infection,over-the-counter,,2021-07-05,2023-07-27,757.0
dextrocillin,antipyretic,cream,191 mg,teva pharmaceutical industries ltd.,wound,prescription,,2020-01-31,2021-04-01,191.0
clarinazole,antifungal,tablet,867 mg,bayer ag,fever,prescription,,2021-07-29,2023-07-06,867.0
cefprofen,analgesic,injection,717 mg,novartis ag,wound,over-the-counter,,2023-05-18,2024-10-16,717.0
metovir,antidepressant,ointment,69 mg,sanofi s.a.,depression,prescription,,2021-11-13,2024-08-27,69.0
ibuprophen,antidiabetic,capsule,552 mg,amgen inc.,virus,prescription,,2023-05-13,2024-06-21,552.0
ibuproprofen,antiseptic,cream,383 mg,takeda pharmaceutical company limited,pain,prescription,,2021-06-23,2023-10-21,383.0
acetoprofen,analgesic,cream,811 mg,astrazeneca plc,fever,over-the-counter,,2023-01-06,2025-11-13,811.0
amoxivir,antipyretic,capsule,267 mg,novartis ag,virus,prescription,,2022-11-14,2025-10-15,267.0
amoxistatin,analgesic,ointment,426 mg,eli lilly and company,depression,prescription,,2025-07-18,2028-01-25,426.0
metostatin,analgesic,syrup,312 mg,"merck & co., inc.",wound,prescription,,2021-02-03,2024-01-23,312.0
acetocillin,antifungal,tablet,244 mg,csl limited,pain,prescription,,2022-12-13,2024-12-28,244.0
claricillin,antidiabetic,cream,345 mg,novo nordisk a/s,diabetes,over-the-counter,,2023-02-01,2024-05-06,345.0
ibuprovir,antiviral,drops,451 mg,amgen inc.,diabetes,over-the-counter,,2024-03-28,2026-01-14,451.0
dolomycin,analgesic,capsule,703 mg,amgen inc.,fungus,prescription,,2021-08-19,2023-04-10,703.0
amoxiprofen,analgesic,cream,29 mg,eli lilly and company,virus,prescription,,2023-09-15,2025-08-20,29.0
acetonazole,antidiabetic,ointment,208 mg,glaxosmithkline plc,depression,prescription,,2022-04-18,2025-04-05,208.0
cefcillin,antifungal,cream,417 mg,amgen inc.,diabetes,over-the-counter,,2024-08-22,2027-02-10,417.0
cefphen,antibiotic,syrup,355 mg,roche holding ag,diabetes,prescription,,2023-02-23,2025-02-06,355.0
metostatin,antidepressant,capsule,379 mg,novo nordisk a/s,infection,prescription,,2021-04-13,2022-11-05,379.0
ibuprostatin,antiviral,capsule,527 mg,glaxosmithkline plc,wound,over-the-counter,,2021-07-27,2023-11-29,527.0
dolomet,antifungal,injection,589 mg,roche holding ag,wound,over-the-counter,,2021-11-23,2023-12-08,589.0
ibuproprofen,antidiabetic,inhaler,429 mg,amgen inc.,fungus,over-the-counter,,2024-04-23,2025-09-10,429.0
cefmet,antibiotic,tablet,921 mg,teva pharmaceutical industries ltd.,fever,over-the-counter,,2023-04-19,2025-12-07,921.0
metovir,analgesic,capsule,1 mg,bristol-myers squibb company,fungus,prescription,,2022-02-10,2024-10-11,1.0
doloprofen,antiseptic,cream,876 mg,csl limited,pain,over-the-counter,,2023-01-25,2024-02-16,876.0
ibuprovir,antibiotic,ointment,174 mg,roche holding ag,fungus,over-the-counter,,2020-12-15,2022-12-13,174.0
acetophen,antifungal,capsule,921 mg,bayer ag,wound,prescription,,2024-04-20,2025-09-14,921.0
acetovir,antidiabetic,syrup,862 mg,eli lilly and company,diabetes,over-the-counter,,2021-04-19,2023-11-05,862.0
acetonazole,antidepressant,cream,288 mg,novartis ag,pain,prescription,,2022-12-02,2025-06-04,288.0
dolomycin,antibiotic,ointment,484 mg,sanofi s.a.,pain,over-the-counter,,2024-03-24,2026-08-10,484.0
metoprofen,antiseptic,drops,942 mg,novo nordisk a/s,depression,over-the-counter,,2021-06-10,2023-01-13,942.0
ibupromycin,antiviral,inhaler,463 mg,csl limited,fever,over-the-counter,,2023-08-08,2025-12-01,463.0
acetostatin,antidepressant,syrup,10 mg,bayer ag,diabetes,over-the-counter,,2021-10-09,2023-11-28,10.0
dextroprofen,antibiotic,drops,830 mg,"gilead sciences, inc.",virus,over-the-counter,,2021-12-06,2023-10-26,830.0
ibuprophen,antifungal,syrup,332 mg,astrazeneca plc,pain,over-the-counter,,2020-05-09,2022-09-09,332.0
cefphen,antiseptic,tablet,97 mg,teva pharmaceutical industries ltd.,diabetes,over-the-counter,,2022-04-19,2024-05-30,97.0
dextromet,antipyretic,inhaler,116 mg,eli lilly and company,fever,prescription,,2024-06-23,2025-11-13,116.0
ibupronazole,antiseptic,tablet,730 mg,sanofi s.a.,pain,prescription,,2020-11-04,2022-06-02,730.0
dolovir,antipyretic,drops,417 mg,"gilead sciences, inc.",virus,prescription,,2021-06-21,2024-04-16,417.0
claricillin,antibiotic,syrup,820 mg,glaxosmithkline plc,infection,prescription,,2023-01-30,2024-10-14,820.0
cefnazole,analgesic,syrup,686 mg,teva pharmaceutical industries ltd.,infection,over-the-counter,,2022-10-01,2024-05-14,686.0
cefmycin,antiseptic,capsule,637 mg,roche holding ag,diabetes,prescription,,2022-12-02,2025-07-17,637.0
cefvir,analgesic,inhaler,534 mg,teva pharmaceutical industries ltd.,fever,over-the-counter,,2022-02-04,2024-02-10,534.0
dolovir,antiseptic,syrup,477 mg,astrazeneca plc,pain,prescription,,2025-06-01,2027-06-26,477.0
cefnazole,antidepressant,capsule,667 mg,astrazeneca plc,fungus,prescription,,2024-01-09,2025-04-05,667.0
clarinazole,antibiotic,syrup,814 mg,novo nordisk a/s,pain,prescription,,2020-12-29,2023-02-01,814.0
ibuprovir,antiviral,inhaler,551 mg,johnson & johnson,wound,over-the-counter,,2022-06-03,2024-04-06,551.0
clarinazole,antidiabetic,capsule,79 mg,takeda pharmaceutical company limited,depression,over-the-counter,,2024-12-27,2025-12-30,79.0
dextromycin,antidiabetic,inhaler,507 mg,glaxosmithkline plc,virus,prescription,,2025-05-12,2026-10-31,507.0
dextronazole,antidiabetic,cream,349 mg,pfizer inc.,virus,over-the-counter,,2023-02-21,2025-08-17,349.0
amoxinazole,analgesic,ointment,678 mg,astrazeneca plc,wound,prescription,,2024-03-12,2025-10-23,678.0
dolonazole,antibiotic,injection,340 mg,glaxosmithkline plc,virus,prescription,,2022-02-15,2024-01-19,340.0
ibuprocillin,antipyretic,tablet,9 mg,takeda pharmaceutical company limited,pain,over-the-counter,,2022-10-27,2024-05-19,9.0
ibuproprofen,antipyretic,injection,53 mg,sanofi s.a.,diabetes,over-the-counter,,2024-04-07,2025-07-17,53.0
cefmet,antidepressant,cream,432 mg,"merck & co., inc.",fungus,prescription,,2025-02-17,2026-04-15,432.0
ibuproprofen,antidepressant,injection,254 mg,roche holding ag,wound,over-the-counter,,2023-01-31,2024-06-28,254.0
amoxiphen,antibiotic,capsule,539 mg,biogen inc.,fever,over-the-counter,,2020-05-08,2022-01-14,539.0
ibupromycin,analgesic,capsule,821 mg,teva pharmaceutical industries ltd.,diabetes,prescription,,2021-11-06,2024-02-27,821.0
dextrovir,antidepressant,ointment,844 mg,"merck & co., inc.",fever,over-the-counter,,2022-12-11,2025-06-18,844.0
acetocillin,antidiabetic,ointment,930 mg,glaxosmithkline plc,wound,prescription,,2025-07-09,2027-09-09,930.0
clariprofen,antiviral,injection,118 mg,amgen inc.,fever,over-the-counter,,2021-08-24,2024-02-16,118.0
acetonazole,antiseptic,tablet,302 mg,eli lilly and company,diabetes,over-the-counter,,2023-02-12,2025-07-19,302.0
clarimet,antidepressant,drops,493 mg,pfizer inc.,fever,prescription,,2021-03-25,2023-07-28,493.0
acetophen,antifungal,inhaler,717 mg,pfizer inc.,depression,prescription,,2024-09-07,2027-02-14,717.0
dextrocillin,antiviral,syrup,11 mg,biogen inc.,pain,over-the-counter,,2020-04-08,2022-01-24,11.0
amoxivir,antipyretic,inhaler,284 mg,astrazeneca plc,wound,over-the-counter,,2021-04-10,2022-05-24,284.0
dolocillin,antipyretic,ointment,154 mg,glaxosmithkline plc,fungus,over-the-counter,,2024-09-14,2026-04-01,154.0
dolovir,antidepressant,injection,918 mg,roche holding ag,fungus,prescription,,2021-03-31,2022-04-23,918.0
dextrovir,analgesic,tablet,888 mg,sanofi s.a.,depression,over-the-counter,,2024-11-01,2027-07-24,888.0
amoxinazole,antidepressant,tablet,504 mg,bayer ag,fungus,over-the-counter,,2021-12-30,2024-01-20,504.0
clarimet,analgesic,drops,808 mg,eli lilly and company,fever,over-the-counter,,2024-06-23,2027-02-02,808.0
ibuprovir,antipyretic,cream,92 mg,glaxosmithkline plc,wound,prescription,,2020-07-08,2022-09-15,92.0
dolophen,antiseptic,capsule,542 mg,astrazeneca plc,pain,prescription,,2023-12-21,2025-08-18,542.0
ibuprostatin,antiseptic,drops,329 mg,novo nordisk a/s,fungus,prescription,,2023-10-12,2025-05-01,329.0
dextrocillin,antidepressant,drops,906 mg,bayer ag,virus,over-the-counter,,2022-09-03,2024-04-26,906.0
dextronazole,antidiabetic,ointment,500 mg,amgen inc.,diabetes,over-the-counter,,2025-02-03,2026-11-23,500.0
cefprofen,antipyretic,ointment,109 mg,biogen inc.,wound,over-the-counter,,2020-01-23,2022-01-04,109.0
dextrovir,antiviral,drops,894 mg,johnson & johnson,diabetes,prescription,,2023-08-04,2024-10-28,894.0
claristatin,antidepressant,capsule,875 mg,novo nordisk a/s,wound,over-the-counter,,2025-04-16,2026-11-11,875.0
cefcillin,antifungal,cream,316 mg,teva pharmaceutical industries ltd.,fungus,prescription,,2023-12-03,2026-08-02,316.0
dolophen,analgesic,syrup,608 mg,teva pharmaceutical industries ltd.,diabetes,prescription,,2023-02-09,2024-02-10,608.0
metomycin,antibiotic,capsule,782 mg,"gilead sciences, inc.",fever,prescription,,2022-05-12,2023-12-26,782.0
dextrophen,analgesic,ointment,865 mg,sanofi s.a.,virus,prescription,,2021-09-24,2023-11-07,865.0
ibupronazole,antidiabetic,tablet,440 mg,novo nordisk a/s,fever,prescription,,2021-07-01,2023-02-28,440.0
ibupromet,antiseptic,tablet,866 mg,takeda pharmaceutical company limited,fever,prescription,,2021-06-03,2023-09-13,866.0
cefprofen,antiviral,syrup,554 mg,novo nordisk a/s,wound,prescription,,2022-05-17,2024-08-16,554.0
ibuprophen,antipyretic,drops,76 mg,biogen inc.,infection,prescription,,2023-11-03,2026-05-09,76.0
dextroprofen,analgesic,inhaler,523 mg,amgen inc.,infection,over-the-counter,,2020-07-31,2022-02-28,523.0
ibuprostatin,antipyretic,drops,973 mg,glaxosmithkline plc,virus,prescription,,2024-06-09,2026-06-29,973.0
amoxiprofen,antiviral,tablet,105 mg,johnson & johnson,wound,over-the-counter,,2021-10-29,2023-12-14,105.0
